x,y,lcdi
-179.5,89.5,5.339662198
-178.5,89.5,5.339693419
-177.5,89.5,5.339542271
-176.5,89.5,5.34012152
-175.5,89.5,5.339985614
-174.5,89.5,5.340208161
-173.5,89.5,5.340556401
-172.5,89.5,5.340644252
-171.5,89.5,5.340912593
-170.5,89.5,5.341105034
-169.5,89.5,5.34129114
-168.5,89.5,5.341533453
-167.5,89.5,5.341838062
-166.5,89.5,5.342126279
-165.5,89.5,5.342697338
-164.5,89.5,5.342781476
-163.5,89.5,5.343044021
-162.5,89.5,5.343532568
-161.5,89.5,5.343847821
-160.5,89.5,5.344005417
-159.5,89.5,5.344546203
-158.5,89.5,5.344902436
-157.5,89.5,5.345202573
-156.5,89.5,5.345516192
-155.5,89.5,5.345907921
-154.5,89.5,5.346507653
-153.5,89.5,5.346856081
-152.5,89.5,5.347134292
-151.5,89.5,5.347688108
-150.5,89.5,5.348011907
-149.5,89.5,5.348260539
-148.5,89.5,5.348994878
-147.5,89.5,5.349168832
-146.5,89.5,5.349573552
-145.5,89.5,5.350023483
-144.5,89.5,5.350240079
-143.5,89.5,5.350658193
-142.5,89.5,5.350872219
-141.5,89.5,5.350873437
-140.5,89.5,5.351226744
-139.5,89.5,5.35114455
-138.5,89.5,5.351103188
-137.5,89.5,5.351226839
-136.5,89.5,5.350988932
-135.5,89.5,5.350531861
-134.5,89.5,5.350248826
-133.5,89.5,5.349892815
-132.5,89.5,5.349740585
-131.5,89.5,5.349629726
-130.5,89.5,5.349425131
-129.5,89.5,5.348953138
-128.5,89.5,5.348984757
-127.5,89.5,5.348699967
-126.5,89.5,5.34905469
-125.5,89.5,5.349098544
-124.5,89.5,5.349067304
-123.5,89.5,5.349219241
-122.5,89.5,5.349165252
-121.5,89.5,5.349128644
-120.5,89.5,5.349507304
-119.5,89.5,5.349733685
-118.5,89.5,5.349876328
-117.5,89.5,5.35019761
-116.5,89.5,5.35013641
-115.5,89.5,5.350406471
-114.5,89.5,5.350657387
-113.5,89.5,5.35053667
-112.5,89.5,5.3504364
-111.5,89.5,5.351044689
-110.5,89.5,5.350787506
-109.5,89.5,5.351081038
-108.5,89.5,5.351177776
-107.5,89.5,5.350912487
-106.5,89.5,5.351152101
-105.5,89.5,5.350917409
-104.5,89.5,5.350885569
-103.5,89.5,5.350981307
-102.5,89.5,5.350659489
-101.5,89.5,5.350374033
-100.5,89.5,5.350501858
-99.5,89.5,5.34993535
-98.5,89.5,5.349467604
-97.5,89.5,5.349648567
-96.5,89.5,5.349509653
-95.5,89.5,5.34971204
-94.5,89.5,5.349367909
-93.5,89.5,5.349069929
