"Income Index"
"HDI Rank (2018)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","0.466","","0.440","","0.431","","0.376","","0.328","","0.381","","0.366","","0.354","","0.343","","0.331","","0.317","","0.302","","0.370","","0.372","","0.366","","0.375","","0.381","","0.394","","0.394","","0.409","","0.426","","0.421","","0.435","","0.438","","0.436","","0.435","","0.434","","0.434","","0.432",""
"69","Albania","0.572","","0.521","","0.506","","0.526","","0.541","","0.563","","0.578","","0.561","","0.576","","0.595","","0.607","","0.621","","0.627","","0.637","","0.645","","0.653","","0.664","","0.674","","0.683","","0.686","","0.693","","0.699","","0.700","","0.705","","0.707","","0.711","","0.717","","0.721","","0.727",""
"82","Algeria","0.695","","0.687","","0.687","","0.683","","0.677","","0.678","","0.681","","0.681","","0.688","","0.689","","0.691","","0.698","","0.702","","0.711","","0.714","","0.718","","0.720","","0.728","","0.731","","0.731","","0.735","","0.734","","0.734","","0.735","","0.737","","0.739","","0.745","","0.743","","0.743",""
"36","Andorra","0.936","","0.934","","0.929","","0.923","","0.922","","0.923","","0.929","","0.942","","0.947","","0.953","","0.920","","0.922","","0.926","","0.937","","0.942","","0.947","","0.950","","0.947","","0.931","","0.924","","0.916","","0.910","","0.910","","0.914","","0.920","","0.924","","0.928","","0.931","","0.935",""
"149","Angola","0.562","","0.576","","0.431","","0.428","","0.388","","0.506","","0.505","","0.530","","0.527","","0.511","","0.518","","0.527","","0.554","","0.554","","0.562","","0.576","","0.583","","0.601","","0.604","","0.615","","0.614","","0.613","","0.622","","0.626","","0.630","","0.629","","0.620","","0.617","","0.607",""
"74","Antigua and Barbuda","0.764","","0.771","","0.771","","0.778","","0.785","","0.774","","0.782","","0.788","","0.792","","0.794","","0.798","","0.791","","0.788","","0.796","","0.801","","0.810","","0.826","","0.837","","0.834","","0.812","","0.801","","0.795","","0.797","","0.795","","0.799","","0.802","","0.807","","0.810","","0.816",""
"48","Argentina","0.709","","0.722","","0.733","","0.744","","0.750","","0.744","","0.750","","0.760","","0.763","","0.756","","0.753","","0.744","","0.721","","0.734","","0.734","","0.745","","0.768","","0.781","","0.786","","0.774","","0.787","","0.795","","0.792","","0.794","","0.789","","0.792","","0.787","","0.788","","0.781",""
"81","Armenia","0.541","","0.529","","0.423","","0.427","","0.452","","0.465","","0.480","","0.492","","0.499","","0.505","","0.514","","0.529","","0.550","","0.570","","0.585","","0.608","","0.629","","0.651","","0.663","","0.638","","0.643","","0.647","","0.658","","0.665","","0.668","","0.671","","0.668","","0.681","","0.684",""
"6","Australia","0.849","","0.847","","0.847","","0.852","","0.856","","0.859","","0.863","","0.867","","0.873","","0.879","","0.883","","0.884","","0.888","","0.890","","0.895","","0.896","","0.898","","0.901","","0.904","","0.905","","0.905","","0.906","","0.911","","0.913","","0.915","","0.917","","0.918","","0.919","","0.920",""
"20","Austria","0.869","","0.872","","0.873","","0.873","","0.876","","0.879","","0.883","","0.885","","0.890","","0.894","","0.899","","0.900","","0.903","","0.904","","0.907","","0.910","","0.915","","0.919","","0.922","","0.915","","0.918","","0.922","","0.921","","0.921","","0.920","","0.919","","0.922","","0.924","","0.927",""
"87","Azerbaijan","0.675","","0.671","","0.630","","0.590","","0.555","","0.534","","0.533","","0.542","","0.554","","0.563","","0.573","","0.585","","0.597","","0.610","","0.619","","0.646","","0.685","","0.712","","0.734","","0.753","","0.761","","0.754","","0.757","","0.765","","0.771","","0.769","","0.758","","0.760","","0.759",""
"60","Bahamas","0.859","","0.849","","0.845","","0.840","","0.842","","0.869","","0.883","","0.854","","0.858","","0.869","","0.873","","0.873","","0.875","","0.871","","0.870","","0.872","","0.873","","0.872","","0.868","","0.858","","0.857","","0.856","","0.860","","0.858","","0.855","","0.855","","0.850","","0.852","","0.853",""
