"","name","continent","region_un","subregion","region_wb"
"1","Indonesia","Asia","Asia","SE. Asia","East Asia & Pacific"
"2","Malaysia","Asia","Asia","SE. Asia","East Asia & Pacific"
"3","Chile","South America","Americas","S. America","Latin America & Caribbean"
"4","Bolivia","South America","Americas","S. America","Latin America & Caribbean"
"5","Peru","South America","Americas","S. America","Latin America & Caribbean"
"6","Argentina","South America","Americas","S. America","Latin America & Caribbean"
"7","India","Asia","Asia","S. Asia","South Asia"
"8","China","Asia","Asia","E. Asia","East Asia & Pacific"
"9","Israel","Asia","Asia","W. Asia","Middle East & North Africa"
"10","Palestine","Asia","Asia","W. Asia","Middle East & North Africa"
"11","Lebanon","Asia","Asia","W. Asia","Middle East & North Africa"
"12","Ethiopia","Africa","Africa","E. Africa","Sub-Saharan Africa"
"13","S. Sudan","Africa","Africa","E. Africa","Sub-Saharan Africa"
"14","Somalia","Africa","Africa","E. Africa","Sub-Saharan Africa"
"15","Kenya","Africa","Africa","E. Africa","Sub-Saharan Africa"
"16","Pakistan","Asia","Asia","S. Asia","South Asia"
"17","Malawi","Africa","Africa","E. Africa","Sub-Saharan Africa"
"18","Tanzania","Africa","Africa","E. Africa","Sub-Saharan Africa"
"19","Syria","Asia","Asia","W. Asia","Middle East & North Africa"
"20","Somaliland","Africa","Africa","E. Africa","Sub-Saharan Africa"
"21","France","Europe","Europe","W. Europe","Europe & Central Asia"
"22","Suriname","South America","Americas","S. America","Latin America & Caribbean"
"23","Guyana","South America","Americas","S. America","Latin America & Caribbean"
"24","South Korea","Asia","Asia","E. Asia","East Asia & Pacific"
"25","North Korea","Asia","Asia","E. Asia","East Asia & Pacific"
"26","Morocco","Africa","Africa","N. Africa","Middle East & North Africa"
"27","W. Sahara","Africa","Africa","N. Africa","Middle East & North Africa"
"28","Costa Rica","North America","Americas","C. America","Latin America & Caribbean"
"29","Nicaragua","North America","Americas","C. America","Latin America & Caribbean"
"30","Congo","Africa","Africa","Middle Africa","Sub-Saharan Africa"
"31","Dem. Rep. Congo","Africa","Africa","Middle Africa","Sub-Saharan Africa"
"32","Bhutan","Asia","Asia","S. Asia","South Asia"
"33","Ukraine","Europe","Europe","E. Europe","Europe & Central Asia"
"34","Belarus","Europe","Europe","E. Europe","Europe & Central Asia"
"35","Namibia","Africa","Africa","S. Africa","Sub-Saharan Africa"
"36","South Africa","Africa","Africa","S. Africa","Sub-Saharan Africa"
"37","Oman","Asia","Asia","W. Asia","Middle East & North Africa"
"38","Uzbekistan","Asia","Asia","C. Asia","Europe & Central Asia"
"39","Kazakhstan","Asia","Asia","C. Asia","Europe & Central Asia"
"40","Tajikistan","Asia","Asia","C. Asia","Europe & Central Asia"
"41","Lithuania","Europe","Europe","N. Europe","Europe & Central Asia"
"42","Brazil","South America","Americas","S. America","Latin America & Caribbean"
"43","Uruguay","South America","Americas","S. America","Latin America & Caribbean"
"44","Mongolia","Asia","Asia","E. Asia","East Asia & Pacific"
"45","Russia","Europe","Europe","E. Europe","Europe & Central Asia"
"46","Czechia","Europe","Europe","E. Europe","Europe & Central Asia"
"47","Germany","Europe","Europe","W. Europe","Europe & Central Asia"
"48","Estonia","Europe","Europe","N. Europe","Europe & Central Asia"
"49","Latvia","Europe","Europe","N. Europe","Europe & Central Asia"
"50","Norway","Europe","Europe","N. Europe","Europe & Central Asia"
"51","Sweden","Europe","Europe","N. Europe","Europe & Central Asia"
"52","Finland","Europe","Europe","N. Europe","Europe & Central Asia"
"53","Vietnam","Asia","Asia","SE. Asia","East Asia & Pacific"
"54","Cambodia","Asia","Asia","SE. Asia","East Asia & Pacific"
"55","United Arab Emirates","Asia","Asia","W. Asia","Middle East & North Africa"
"56","Belgium","Europe","Europe","W. Europe","Europe & Central Asia"
"57","Georgia","Asia","Asia","W. Asia","Europe & Central Asia"
"58","Macedonia","Europe","Europe","S. Europe","Europe & Central Asia"
"59","Albania","Europe","Europe","S. Europe","Europe & Central Asia"
"60","Azerbaijan","Asia","Asia","W. Asia","Europe & Central Asia"
"61","Kosovo","Europe","Europe","S. Europe","Europe & Central Asia"
"62","Turkey","Asia","Asia","W. Asia","Europe & Central Asia"
"63","Spain","Europe","Europe","S. Europe","Europe & Central Asia"
"64","Laos","Asia","Asia","SE. Asia","East Asia & Pacific"
"65","Kyrgyzstan","Asia","Asia","C. Asia","Europe & Central Asia"
"66","Armenia","Asia","Asia","W. Asia","Europe & Central Asia"
"67","Denmark","Europe","Europe","N. Europe","Europe & Central Asia"
"68","Libya","Africa","Africa","N. Africa","Middle East & North Africa"
