"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","American Samoa"
"5","Andorra"
"6","Angola"
"7","Anguilla"
"8","Antarctica"
"9","Antigua & Barbuda"
"10","Area en controversia (disputed - Peruvian point of view)"
"11","Area of overlap Australia/Indonesia"
"12","Argentina"
"13","Armenia"
"14","Aruba"
"15","Australia"
"16","Austria"
"17","Azerbaijan"
"18","Bahrain"
"19","Bangladesh"
"20","Barbados"
"21","Belarus"
"22","Belgium"
"23","Belize"
"24","Benin"
"25","Bermuda"
"26","Bhutan"
"27","Bolivia"
"28","Bonaire, Sint-Eustasius, Saba"
"29","Bosnia & Herzegovina"
"30","Botswana"
"31","Bouvet I."
"32","Brazil"
"33","British Indian Ocean Territory"
"34","Brunei"
"35","Bulgaria"
"36","Burkina Faso"
"37","Burundi"
"38","Cambodia"
"39","Cameroon"
"40","Canada"
"41","Cape Verde"
"42","Cayman Is."
"43","Central African Republic"
"44","Chad"
"45","Chile"
"46","China"
"47","Christmas I."
"48","Clipperton Island"
"49","Cocos Is."
"50","Colombia"
"51","Comoros"
"52","Conflict zone China/Japan/Taiwan"
"53","Conflict zone Japan/Russia"
"54","Conflict zone Japan/South Korea"
"55","Congo"
"56","Congo, DRC"
"57","Cook Is."
"58","Costa Rica"
"59","Cote d'Ivoire"
"60","Croatia"
"61","Cuba"
"62","Curaçao"
"63","Cyprus"
"64","Czech Republic"
"65","Denmark"
"66","Disputed Barbados/Trinidad & Tobago"
"67","Disputed Kenya/Somalia"
"68","Disputed Western Sahara/Mauritania"
"69","Djibouti"
"70","Dominica"
"71","Dominican Republic"
"72","Ecuador"
"73","Egypt"
"74","El Salvador"
"75","Equatorial Guinea"
"76","Eritrea"
"77","Estonia"
"78","Ethiopia"
"79","Falkland Islands"
"80","Faroe Is."
"81","Fiji"
"82","Finland"
"83","France"
"84","French Guiana"
"85","French Polynesia"
"86","French Southern & Antarctic Lands"
"87","Gabon"
"88","Gaza Strip"
"89","Georgia"
"90","Germany"
"91","Ghana"
"92","Gibraltar"
"93","Greece"
"94","Greenland"
"95","Grenada"
"96","Guadeloupe"
"97","Guatemala"
"98","Guernsey"
"99","Guinea"
"100","Guinea-Bissau"
"101","Guyana"
"102","Haiti"
"103","Heard I. & McDonald Is."
"104","Honduras"
"105","Hungary"
"106","Iceland"
"107","India"
"108","Indonesia"
"109","Iran"
"110","Iraq"
"111","Ireland"
"112","Israel"
"113","Italy"
"114","Jamaica"
"115","Jan Mayen"
"116","Japan"
"117","Jersey"
"118","Joint development area Australia/East Timor"
"119","Joint regime Colombia/Jamaica"
"120","Joint regime Japan/Korea"
"121","Joint regime Nigeria/Sao Tome and Principe"
"122","Jordan"
"123","Kazakhstan"
"124","Kenya"
"125","Kiribati"
"126","Kuwait"
"127","Kyrgyzstan"
"128","Laos"
"129","Latvia"
"130","Lebanon"
"131","Lesotho"
"132","Liberia"
"133","Libya"
"134","Liechtenstein"
"135","Lithuania"
"136","Luxembourg"
"137","Macedonia"
"138","Madagascar"
"139","Malawi"
"140","Malaysia"
"141","Maldives"
"142","Mali"
"143","Malta"
"144","Marshall Is."
"145","Martinique"
"146","Mauritania"
"147","Mauritius"
"148","Mayotte"
"149","Mexico"
"150","Micronesia"
"151","Moldova"
"152","Monaco"
"153","Mongolia"
"154","Montenegro"
"155","Montserrat"
"156","Morocco"
"157","Mozambique"
"158","Myanmar"
"159","Namibia"
"160","Nauru"
"161","Nepal"
"162","Netherlands"
"163","Netherlands Antilles"
"164","New Caledonia"
"165","New Zealand"
"166","Nicaragua"
"167","Niger"
"168","Nigeria"
"169","Niue"
"170","Norfolk I."
"171","North Korea"
"172","Northern Marinana Islands-Guam"
"173","Norway"
"174","Oman"
"175","Pakistan"
"176","Palau"
"177","Panama"
"178","Papua New Guinea"
"179","Paracel Islands"
"180","Paraguay"
"181","Peru"
"182","Philippines"
"183","Pitcairn Is."
"184","Poland"
"185","Portugal"
"186","Protected zone Australia/Papua New Guinea"
"187","Puerto Rico"
"188","Qatar"
"189","Reunion"
"190","Romania"
"191","Russia"
"192","Rwanda"
"193","Saint Helena, Ascension en Tristan da Cunha"
"194","Saint Martin"
"195","Saint Vincent and the Grenadines"
"196","Samoa"
"197","San Marino"
"198","Sao Tome & Principe"
"199","Saudi Arabia"
"200","Senegal"
