"","geounit","quant10_disp","quant50_disp","quant90_disp"
"1","Afghanistan",-1.10636657136797e-10,1.7462168871971e-10,3.95633392676077e-10
"2","Albania",2.14965538280047e-10,4.80474917301082e-10,7.68628568241341e-10
"3","Algeria",5.3201081142793e-10,8.35113591069622e-10,1.16878156155098e-09
"4","Angola",1.88615443865308e-11,1.91430838665408e-10,3.39935518585246e-10
"5","Antarctica",1.21706674065573e-10,6.18515452806052e-10,1.68484007026264e-09
"6","Argentina",-1.8436351328047e-10,1.22156984055909e-10,1.04057960557688e-09
"7","Armenia",-4.34685918294118e-10,1.32243319943686e-09,1.39076207451582e-09
"8","Aruba",-1.35348578789762e-10,-1.35348578789762e-10,-1.35348578789762e-10
"9","Australia",4.20959802630501e-11,4.16038118603368e-10,9.14027798256497e-10
"10","Austria",-2.01059425556327e-09,-8.66547285820158e-10,-4.45493086158589e-10
"11","Azerbaijan",6.4773141351819e-11,5.06972549881878e-10,1.06599148192828e-09
"12","Bangladesh",-1.87983431311107e-09,-1.76796330742676e-09,-4.28555127890592e-10
"13","Belarus",-9.32830166702389e-10,-4.9423033567084e-10,-2.48218879105971e-10
"14","Belgium",-2.43220112096008e-09,-2.33586068001554e-09,-2.27329917913622e-09
"15","Belize",1.68845972414326e-12,3.33868290937995e-11,6.8084157437624e-11
"16","Benin",-1.15725180675882e-09,-2.3895776504162e-10,-8.5202072688319e-11
"17","Bhutan",-1.93630519046613e-09,-7.32199178664866e-10,5.93805256426946e-10
"18","Bolivia",1.69980448003162e-10,3.6399797576719e-10,4.9208449624968e-10
"19","Bosnia and Herzegovina",-3.42815460383098e-10,-1.07270360658589e-10,2.02774562410042e-10
"20","Botswana",-3.06854157519176e-11,2.37730446434885e-10,3.94026757411196e-10
"21","Brazil",-3.96079037616434e-10,2.99209546457565e-10,7.01507082854593e-10
"22","British Virgin Islands",8.87468309621255e-11,8.87468309621255e-11,8.87468309621255e-11
"23","Brunei",-9.15825237594524e-12,2.6093338159578e-11,6.13449286951013e-11
"24","Bulgaria",1.48636823499842e-10,7.13616011827168e-10,1.19745892255185e-09
"25","Burkina Faso",-5.3445135812792e-10,-1.94942505592441e-10,1.44688431548191e-10
"26","Burundi",-9.80336980028967e-10,-6.49466318275382e-10,-3.14878278910238e-10
"27","Cambodia",-1.23322110593191e-09,-2.09067126686609e-10,3.46251447007921e-11
"28","Cameroon",-2.29966240462384e-10,1.6112028623152e-10,2.4122215574076e-10
"29","Canada",1.72684688860583e-10,8.70042579208237e-10,2.25023896693123e-09
"30","Cape Verde",9.66270853671056e-11,9.66270853671056e-11,9.66270853671056e-11
"31","Central African Republic",5.01035419374937e-12,1.66963034770029e-10,2.92909341712526e-10
"32","Chad",9.10772875759459e-11,4.9621049117169e-10,7.69867812577083e-10
"33","Chile",3.51679927522702e-11,3.59427193047129e-10,8.17248735978651e-10
"34","China",-2.33377885532757e-09,-2.41241565329146e-10,8.35551237530296e-10
"35","Colombia",-3.4799786151296e-10,2.08599337075739e-10,4.05386352993545e-10
"36","Costa Rica",-3.91975379880747e-10,-1.88355242404827e-10,-7.6642986130167e-11
"37","Croatia",-3.65727423971616e-10,-1.29395114494144e-11,2.45412410684705e-10
"38","Cuba",-1.11708033362901e-09,-5.4661171122643e-10,-1.37488755114167e-10
"39","Cyprus",2.60141456059912e-10,2.68100173772554e-10,3.20951605070923e-10
"40","Czech Republic",-2.48681965995301e-09,-2.36852931358051e-09,-1.95648112803696e-09
"41","Democratic Republic of the Congo",-1.22950292371856e-10,2.09285547311276e-10,4.71129211753581e-10
"42","Denmark",-1.48375371247266e-09,-7.67856044223141e-10,-3.40522956998223e-10
"43","Djibouti",-7.32446759371466e-12,5.82883658760679e-11,7.67453490401181e-11
