"","BIOME","quant10_disp","quant50_disp","quant90_disp","ecoregion"
"1","Arctic",2.74320437729378e-10,1.01347874196847e-09,2.51086733956545e-09,"ocean"
"2","Atlantic Warm Water",-1.75797417432986e-12,1.90024070093515e-10,3.60884194471192e-10,"ocean"
"3","Central Indo-Pacific",-3.45565345670041e-10,9.3951760248816e-11,2.39205925503417e-10,"ocean"
"4","Eastern Indo-Pacific",1.3225045677742e-10,2.81445187268105e-10,3.63277078570619e-10,"ocean"
"5","Indo-Pacific Warm Water",1.66607333294788e-11,1.85909066985333e-10,3.89733109801112e-10,"ocean"
"6","Northern Cold Water",1.57634072351623e-10,1.21594575813145e-09,2.06960397669451e-09,"ocean"
"7","Southern Cold Water",2.64765396212826e-11,1.39374441160934e-10,3.45209237360554e-10,"ocean"
"8","Southern Ocean",1.9902828479665e-10,7.77374690533748e-10,2.09650755727742e-09,"ocean"
"9","Temperate Australasia",-1.56846748217364e-10,1.18327857119253e-10,3.85236298122813e-10,"ocean"
"10","Temperate Northern Atlantic",-5.95055652799254e-10,1.79270278310246e-11,5.45266532864956e-10,"ocean"
"11","Temperate Northern Pacific",-1.01123632001471e-09,2.21563360052151e-10,9.53062949938309e-10,"ocean"
"12","Temperate South America",-2.21410903296731e-11,1.9650182063168e-10,4.37851731060872e-10,"ocean"
"13","Temperate Southern Africa",-2.21129487600208e-10,2.13467939480924e-10,4.87851892147007e-10,"ocean"
"14","Tropical Atlantic",-2.63765843267954e-10,8.74261889029728e-11,2.62947753108846e-10,"ocean"
"15","Tropical Eastern Pacific",-7.12908017200713e-10,-1.14245613353686e-10,1.74188653564458e-10,"ocean"
"16","Western Indo-Pacific",-5.39026444278327e-10,1.18070458530619e-10,3.7777926246201e-10,"ocean"
