"","BIOME","quant10_disp","quant50_disp","quant90_disp","ecoregion"
"1","Tropical_and_Subtropical_Moist_Broadleaf_Forests",-1.96908587409249e-09,1.02347395210882e-10,5.02736399258716e-10,"land"
"2","Tropical_and_Subtropical_Dry_Broadleaf_Forests",-1.98787567640437e-09,-5.47277298389588e-10,3.2945891065241e-10,"land"
"3","Tropical_and_Subtropical_Coniferous_Forests",-1.1060897549157e-09,-2.45469814658288e-10,2.99646818335753e-10,"land"
"4","Temperate_Broadleaf_and_Mixed_Forests",-2.31797833974713e-09,-4.16876913227494e-10,4.88022936629833e-10,"land"
"5","Temperate_Conifer_Forests",-6.70204052234954e-10,7.15912560780261e-10,1.83471385939772e-09,"land"
"6","Boreal_Forests_Taiga",4.2614485399864e-11,5.82910912629852e-10,1.70830696052253e-09,"land"
"7","Tropical_and_Subtropical_Grasslands_Savannas_and_Shrublands",-3.30102919451017e-10,1.63223354668216e-10,5.02921500342843e-10,"land"
"8","Temperate_Grasslands_Savannas_and_Shrublands",-3.62947411170544e-10,5.15886515016136e-10,1.71735943632377e-09,"land"
"9","Flooded_Grasslands_and_Savannas",-9.30703320445734e-10,1.59667956973278e-10,4.86069317174931e-10,"land"
"10","Montane_Grasslands_and_Shrublands",-7.62519567180892e-10,2.47778680078295e-10,9.62586762150276e-10,"land"
"11","Tundra",1.52351531354807e-10,7.44759437088983e-10,2.10204499947205e-09,"land"
"12","Mediterranean_Forests_Woodlands_and_Scrub",-6.46265572352597e-10,9.14573072076851e-11,6.69535004972831e-10,"land"
"13","Deserts_and_Xeric_Shrublands",-9.11091923060726e-11,4.89408848121629e-10,1.03295011341584e-09,"land"
"14","Mangroves",-1.36597020730397e-09,-6.33799455296148e-11,2.52354779651959e-10,"land"
"15","Polar_Artic",1.39642394454184e-10,6.83692579575379e-10,1.83156800842243e-09,"land"
